&b / °,R_0 / 1/s,R_1 / 1/s
3,29.2,7.3
3.1,27.6,6.2
3.2,34.5,5.6
3.3,27.7,5.8
3.4,30.2,5.3
3.5,30.8,7.5
3.6,34.4,6.5
3.7,30,6.7
3.8,34.9,7.4
3.9,34.7,6.4
4,37.1,7
4.1,38.4,8
4.2,38.2,7.2
4.3,40.9,8.6
4.4,41.9,7.2
4.5,46,7.1
4.6,48.2,7
4.7,45.7,7.7
4.8,48,8.2
4.9,53.7,9
5,62.5,9.8
5.1,85.5,8.1
5.2,132.9,8.2
5.3,186,7.8
5.4,214.3,8.8
5.5,246.5,7.9
5.6,292,9.2
5.7,310.5,11.5
5.8,338,10.5
5.9,357.4,7.6
6,384.6,10.2
6.1,400.3,9.2
6.2,415.3,11.1
6.3,431.4,10.2
6.4,446.5,11.2
6.5,445,10.2
6.6,451.8,12.2
6.7,463.7,12.1
6.8,467.6,12.6
6.9,471.9,15.4
7,466.2,21.9
7.1,467,33.7
7.2,482.8,51.7
7.3,472.9,72.8
7.4,472,88.5
7.5,467.1,103.8
7.6,465.1,109.3
7.7,462.4,122.9
7.8,459.6,131.4
7.9,453.4,130.9
8,452.2,140.7
8.1,436.7,148.3
8.2,434.7,149.3
8.3,433.9,145.9
8.4,420.1,151.1
8.5,440.4,158.9
8.6,425,162.5
8.7,446.3,165
8.8,536.1,187.4
8.9,810.6,219.5
9,970.1,256.9
9.1,1048.1,289.3
9.2,759.4,248.1
9.3,461.5,191.4
9.4,418,169.6
9.5,417.9,164.7
9.6,412.6,175.1
9.7,410.9,171.7
9.8,439.5,164.8
9.9,671.5,191.3
10,1422.9,320.1
10.1,2166.7,489.2
10.2,2457.6,622.1
10.3,1768.3,510.6
10.4,682.3,252.7
10.5,378.6,154.5
10.6,343.1,146
10.7,328.4,144.1
10.8,333.4,145.4
10.9,322.8,127.6
11,321.1,137.6
11.1,299.9,129.9
11.2,299.9,128
11.3,291.6,124.2
11.4,289.8,121.2
11.5,285,110.3
11.6,278.1,112.3
11.7,255.1,107.6
11.8,258.1,105.6
11.9,252,101.7
12,247.1,98.8
12.1,241.6,92.1
12.2,252.4,97.4
12.3,226,96.1
12.4,231.2,95.3
12.5,223.9,81.4
12.6,217.4,82.6
12.7,213.7,77.8
12.8,205.2,73
12.9,200.3,79.8
13,196.4,73
13.1,185.9,67.5
13.2,174,66.1
13.3,170.6,53.5
13.4,160.8,52.7
13.5,157,50.1
13.6,155.1,46.4
13.7,148.6,47
13.8,153.5,44.2
13.9,150,40.7
14,146,43.6
14.1,139.7,41.3
14.2,134.9,35.5
14.3,135.1,37.4
14.4,126,35.7
14.5,128.3,38.1
14.6,129.1,36.6
14.7,122.4,33.1
14.8,122.5,38.5
14.9,122.3,35.2
15,118.7,34
15.1,118,32.7
15.2,113.2,32.1
15.3,113.3,31.7
15.4,109.4,32.9
15.5,107.5,31.9
15.6,113.3,32.3
15.7,108.1,27.9
15.8,103.1,29.6
15.9,106.9,27.6
16,107.8,27
16.1,105.3,28.3
16.2,102.1,26.1
16.3,105,25.2
16.4,101.7,24.9
16.5,102.1,23
16.6,94.9,25
16.7,98.5,24.8
16.8,106.1,24.6
16.9,96.2,21.1
17,99.4,22.7
17.1,101.1,24.4
17.2,94.9,26.2
17.3,91.7,20.7
17.4,91.1,24.2
17.5,97.3,21.7
17.6,97.3,22.5
17.7,97.7,23.7
17.8,100.9,22.9
17.9,108.3,24.9
18,118.8,27.6
18.1,137,30.1
18.2,172.4,29.8
18.3,174.4,32.7
18.4,125.9,27.6
18.5,94.8,25.1
18.6,91.3,22.3
18.7,94.2,20.5
18.8,90.6,21.8
18.9,89.7,23.5
19,89,22.1
19.1,86.1,22.4
19.2,83.2,19.7
19.3,92.2,22.7
19.4,84.9,20.1
19.5,87.6,22.1
19.6,89,20.6
19.7,89.8,18
19.8,92.2,19.1
19.9,87.8,22.9
20,90.6,20.7
20.1,88.1,20.9
20.2,96.9,25.7
20.3,141.8,24
20.4,222.5,37.1
20.5,338.1,50.6
20.6,396.4,67.4
20.7,301.6,63.1
20.8,173.3,36.7
20.9,94.1,23.8
21,82.3,20.1
21.1,76.3,17.8
21.2,79.4,18.5
21.3,78.1,19.2
21.4,76,20.6
21.5,76.8,16.1
21.6,74.2,17.4
21.7,77.1,16.6
21.8,77.1,18
21.9,72.7,16.9
22,73.4,18
22.1,74.8,18.4
22.2,71.9,18.4
22.3,73,16.1
22.4,68.2,15.9
22.5,70.1,17.5
22.6,65.8,17.7
22.7,74.7,18.7
22.8,63.1,17.2
22.9,69.4,15.2
23,67.4,17.7
23.1,68.3,15
23.2,66.7,17.6
23.3,64.9,16.4
23.4,62.1,17.9
23.5,59.8,16
23.6,67.5,15.3
23.7,63.6,16.4
23.8,61.7,13.9
23.9,65.8,13.1
24,65.7,17.4
24.1,59.7,13.6
24.2,64.5,15.9
24.3,61.7,14
24.4,57,12.5
24.5,60.8,13.4
24.6,60.5,14.5
24.7,58,14.7
24.8,57.9,13.2
24.9,57.9,13.3
25,54.6,11.8
25.1,59,12.5
25.2,59.6,14.3
25.3,59.8,13
25.4,55.6,12.2
25.5,53.4,13.6
25.6,55.4,12.9
25.7,57.6,13.7
25.8,56.5,12.8
25.9,54,13.8
26,54.3,13.6
26.1,55.7,14.9
26.2,55.3,12
26.3,54.4,12.2
26.4,58.5,13.3
26.5,56.5,12
26.6,52,11.5
26.7,53.7,11.9
26.8,50.5,11.1
26.9,48.4,10.4
27,54.5,12.1
27.1,51.4,10.9
27.2,52.9,12.3
27.3,49.6,11.7
27.4,50.6,10.6
27.5,51.1,12.5
27.6,49.9,8.7
27.7,50.5,9.2
27.8,50,11.1
27.9,56.4,11.9
28,59.1,12.5
28.1,59.5,12.7
28.2,48.7,10.5
28.3,48.7,9.4
28.4,46.3,10.8
28.5,45.8,8.9
28.6,48.7,10.1
28.7,44.5,10.4
28.8,46.2,9.4
28.9,47.7,10.1
29,42.7,10.4
29.1,45,8.4
29.2,41.6,10.9
29.3,47,9.7
29.4,44.4,9.1
29.5,45.2,9.4
29.6,43.2,10.2
29.7,44.1,8.8
29.8,44.9,9.5
29.9,45.7,8.5
30,42.2,9.9
30.1,41.3,8.7
30.2,44.1,9.5
30.3,43.3,8.5
30.4,41.9,8.6
30.5,43.1,8.7
30.6,45,10.6
30.7,39.5,7.5
30.8,44.1,7.7
30.9,41.5,9.3
31,39.3,10.1
31.1,40.2,8.4
31.2,42.7,8.7
31.3,44.2,8.5
31.4,42.7,7.7
31.5,39.3,10.1
31.6,45.2,8.3
31.7,61.9,8.8
31.8,68.8,11.1
31.9,79.7,12.6
32,68.5,13.2
32.1,55.3,10.2
32.2,50.3,9.1
32.3,37.7,9.1
32.4,42,7.8
32.5,39,7.8
32.6,37.1,7.6
32.7,38.4,8.2
32.8,37.2,7.9
32.9,36.6,7.9
33,37.9,8.9
33.1,35.5,8.8
33.2,38.1,8.8
33.3,35.6,5.9
33.4,36.3,6.5
33.5,37.9,6.3
33.6,35.3,7.5
33.7,36.6,6.8
33.8,35.1,7.2
33.9,37.9,5.8
34,29.8,7.1
